the,3847
I,3082
to,2241
and,2208
a,2005
it,1599
of,1473
is,1109
was,1042
this,1015
not,1010
for,977
in,787
that,716
on,708
The,648
my,611
have,579
but,574
with,562
are,504
you,476
as,433
so,389
be,384
at,381
they,377
would,353
It,344
one,332
had,319
This,304
just,302
get,297
very,274
use,270
out,266
product,257
these,254
like,253
paint,251
even,245
or,244
all,240
were,238
what,227
will,222
when,221
only,218
used,216
from,216
them,213
up,199
if,198
no,194
work,193
do,190
bought,190
it.,188
can,184
your,183
an,180
because,170
more,166
color,165
than,165
am,163
buy,162
time,158
paper,153
off,151
did,151
don't,149
got,148
after,145
Not,134
some,134
I'm,132
could,132
machine,130
me,127
other,125
They,125
about,122
waste,121
has,121
didn't,120
there,119
box,114
using,113
first,113
-,113
Very,111
received,111
cut,110
make,110
back,110
by,109
much,109
made,109
really,108
does,107
good,107
If,107
which,107
over,105
been,105
tried,104
money,104
came,104
i,103
yarn,103
quality,102
then,102
how,102
too,101
These,99
two,98
never,98
purchased,98
doesn't,97
plastic,97
it's,95
better,95
return,92
scissors,92
any,89
should,88
thought,88
all.,87
now,86
disappointed,85
set,85
colors,85
through,84
So,84
blades,84
sewing,84
still,83
something,83
My,83
same,82
right,82
before,80
little,77
I've,76
want,76
item,76
hold,75
way,75
their,75
them.,74
left,74
we,74
piece,74
can't,72
few,72
recommend,72
cheap,72
ordered,71
small,70
2,69
also,69
old,69
money.,68
Don't,68
It's,68
put,68
product.,68
worth,67
trying,67
going,67
thread,67
hard,66
sure,65
thing,65
new,65
You,64
know,64
see,64
broke,64
thin,63
NOT,63
different,63
go,62
another,62
need,62
actually,61
When,60
"it,",60
dried,60
price,60
reviews,59
many,59
try,59
blade,59
project,58
But,58
fabric,58
wouldn't,57
buying,57
pair,57
punch,57
again.,56
worked,56
find,56
case,56
Amazon,55
since,55
spray,55
disappointed.,54
bad,54
out.,54
markers,54
pens,54
give,54
into,54
paint.,54
needle,54
white,53
picture,53
think,53
well,53
We,53
store,53
3,53
off.,52
look,52
come,52
And,52
won't,51
said,51
work.,51
brand,51
There,50
opened,49
arrived,49
paper.,49
went,49
use.,49
kit,49
anything,48
looking,48
her,48
most,48
4,48
every,48
brushes,48
took,47
great,47
daughter,47
read,47
5,47
being,47
years,47
pay,47
long,46
top,46
A,45
After,45
sew,45
ever,44
able,44
almost,44
wanted,44
where,44
say,44
order,44
its,44
handle,44
instructions,44
face,44
she,43
poor,42
glue,42
down,42
found,42
this.,42
blue,42
description,42
wasn't,42
What,42
away,42
foam,42
enough,41
sent,41
nothing,41
machine.,41
making,40
half,40
black,40
several,40
getting,40
light,39
times,39
me.,39
hand,39
ink,39
Singer,39
last,38
purchase,38
package,38
regular,38
who,38
year,38
tip,38
while,38
things,37
roll,37
green,37
lot,37
quality.,37
one.,37
single,37
leather,37
No,36
expensive,36
needed,36
looks,36
As,36
open,36
working,36
In,36
close,36
stay,36
big,36
&,36
why,36
couldn't,36
metal,36
Krylon,36
side,35
without,35
end,35
completely,35
time.,35
ended,35
size,35
fine,35
cannot,35
cutting,35
part,34
both,34
three,34
Now,34
take,34
again,34
always,33
returning,33
hole,33
started,33
difficult,33
crayons,33
10,33
1,33
problem,33
dry,33
broken,33
less,33
comes,33
keep,32
already,32
nice,32
says,32
until,32
works,32
barely,32
Fiskars,32
real,32
local,32
stick,31
happy,31
having,31
useless,31
wrong,31
looked,31
For,31
you're,31
matter,31
handed,31
worst,31
least,31
days,30
apart,30
Did,30
wish,30
our,30
6,30
red,30
supposed,30
second,30
instead,30
pieces,30
brush,30
stitch,30
stitches,30
skein,30
each,29
gave,29
I'd,29
actual,29
sharp,29
THE,28
may,28
minutes,28
color.,28
large,28
around,28
finally,28
handles,28
wood,28
well.,27
such,27
Do,27
expected,27
Just,27
ones,27
extremely,27
impossible,27
hands,27
pretty,27
name,27
products,26
stuff,26
company,26
next,26
isn't,26
Christmas,26
probably,26
art,26
let,26
coloring,26
people,26
either,25
fell,25
whole,25
pencils,25
kids,25
water,25
"product,",25
together.,25
up.,25
tiny,25
cost,25
followed,25
used.,24
between,24
once,24
day,24
type,24
definitely,24
.,24
item.,24
for.,24
:(,24
that's,24
though,24
painting,24
colored,24
oil,24
