the,4591
I,2983
to,2713
and,2592
a,2437
it,2200
of,1454
is,1295
this,1234
for,1202
was,1116
not,1054
in,958
on,912
that,851
my,749
The,689
have,666
with,623
you,605
but,599
one,514
are,445
be,433
as,415
It,411
would,406
had,405
so,405
they,383
at,364
very,347
This,329
get,321
out,318
just,315
from,312
up,288
or,287
will,280
after,272
it.,263
we,261
when,260
product,256
only,252
bought,250
no,245
these,245
all,242
like,240
an,238
first,228
use,226
were,215
your,215
time,208
has,207
more,206
even,202
if,202
because,202
me,194
them,191
back,188
two,187
about,187
buy,186
could,185
than,181
We,180
do,177
used,177
don't,175
put,173
got,171
My,171
can,162
am,161
off,159
I'm,157
good,153
by,151
what,151
did,148
which,147
it's,145
other,145
over,141
2,138
made,138
return,136
didn't,133
too,133
Coleman,133
-,130
ball,130
never,128
air,126
They,126
i,126
same,124
there,123
been,123
work,122
If,121
really,121
does,119
then,119
old,118
much,116
still,115
stove,115
any,114
before,111
should,111
new,110
thing,110
Not,109
year,109
hold,108
our,108
"it,",105
broke,104
came,104
tried,104
into,103
quality,103
recommend,100
3,100
how,100
another,100
purchased,100
received,99
now,99
make,98
some,98
Very,97
can't,94
way,94
better,94
right,93
little,93
hard,92
doesn't,92
also,91
its,91
product.,90
few,89
item,88
last,88
go,86
waste,86
he,86
something,85
plastic,85
see,85
fit,84
money,83
box,82
well,82
going,81
When,81
day,80
using,80
down,79
use.,78
thought,77
ordered,77
around,77
pump,76
After,76
Amazon,76
second,75
think,74
NOT,74
while,74
bike,74
son,73
I've,73
worked,72
took,71
sure,71
where,71
great,70
know,70
their,70
within,69
since,69
So,69
years,69
together,69
without,68
It's,68
disappointed,68
A,68
who,67
find,67
bad,67
trampoline,67
take,66
returned,66
need,66
enough,66
4,65
actually,64
times,64
went,64
different,64
couple,64
every,63
won't,62
And,61
keep,61
replacement,61
try,61
able,61
10,61
all.,60
again.,60
almost,60
camping,60
set,60
cheap,59
money.,59
But,59
months,59
light,59
5,59
through,59
say,58
both,58
give,58
long,58
them.,57
small,57
board,57
company,57
found,57
her,57
people,56
difficult,56
